cliente_id,edad,antiguedad_meses,cargo_mensual,llamadas_soporte,tipo_contrato,churn
1,23.0,44.0,84.96,1.0,Bianual,0
2,62.0,56.0,54.95,1.0,Mensual,0
3,55.0,53.0,67.27,2.0,Mensual,0
4,43.0,9.0,11.8,0.0,Anual,0
5,42.0,59.0,36.87,0.0,Bianual,0
6,66.0,38.0,54.12,2.0,Mensual,1
7,22.0,23.0,38.56,2.0,Mensual,0
8,57.0,37.0,74.29,1.0, mensual  ,0
9,29.0,69.0,99.95,0.0,Bianual,0
10,23.0,61.0,36.47,1.0,Mensual,0
11,48.0,60.0,43.25,1.0,Mensual,0
12,73.0,33.0,64.71,0.0,Bianual,0
13,59.0, 56 meses,92.22,0.0,Mensual,0
14,61.0,27.0,35.55,1.0,Anual,0
15,58.0,49.0,64.98,0.0,Mensual,0
16,62.0,46.0,96.43,2.0,Anual,0
17,47.0,17.0,26.96,0.0,Mensual,0
18,,19.0,34.38,1.0,Mensual,0
19,65.0,4.0,51.53,1.0,Mensual,0
20,43.0,10.0,49.59,2.0,Anual,1
21,46.0,31.0,76.25,0.0,Anual,0
22,39.0,34.0,64.83,0.0,Mensual,1
23,28.0,11.0,24.5,1.0,Mensual,0
24,70.0,30.0,70.31,5.0, bianual  ,0
25,62.0,43.0,48.45,1.0,Mensual,1
26,54.0,16.0,85.49,3.0, mensual  ,1
27,40.0,24.0,47.45,4.0,Anual,0
28,64.0,26.0,47.27,2.0,Mensual,0
29,49.0,36.0,70.82,1.0,Mensual,0
30,43.0,26.0,75.26,0.0,Mensual,0
31,43.0, 53 meses,68.96,2.0,Mensual,
32,30.0,23.0,26.29,1.0,Mensual,0
33,23.0,31.0,70.76,,Anual,0
34,49.0,27.0,39.31,1.0,Anual,0
35,68.0,13.0,64.71,2.0,Mensual,0
36,21.0,49.0,31.53,1.0,  anual   ,0
37,66.0,16.0,68.93,1.0, mensual  ,0
38,65.0,21.0,43.87,0.0,Anual,0
39,33.0,57.0,34.35,0.0,Mensual,0
40,54.0,68.0,74.28,2.0,Anual,0
41,27.0,48.0,64.83,,Mensual,1
42,61.0, 65 meses,47.72,4.0,Mensual,0
43,57.0,61.0,,3.0,Mensual,0
44,38.0,34.0,51.19,0.0,Mensual,0
45,21.0,55.0,60.64,0.0,Mensual,0
46,73.0,23.0,65.38,,Anual,0
47,43.0,33.0,47.61,3.0,Anual,0
48,68.0,38.0,69.42,0.0,Mensual,0
49,56.0,69.0,49.33,3.0,Bianual,0
50,62.0,61.0,51.77,1.0,  anual   ,0
51,61.0,35.0,87.25,0.0,Bianual,0
52,29.0,46.0,39.19,,Anual,0
53,38.0,14.0,11.74,3.0,Anual,0
54,44.0,57.0,,2.0,Mensual,0
55,46.0,39.0,,0.0,Anual,0
56,,38.0,51.89,2.0,Bianual,0
57,49.0, 55 meses,21.26,3.0,Mensual,0
58,26.0, 45 meses,53.79,1.0,Mensual,0
59,60.0,5.0,54.28,2.0,Mensual,0
60,56.0,20.0,56.2,2.0,Bianual,0
61,70.0,12.0,37.73,2.0,Mensual,0
62,60.0,52.0,71.59,0.0,Anual,0
63,38.0,2.0,70.49,2.0,Anual,0
64,73.0,14.0,30.11,0.0,Bianual,0
65,41.0,43.0,73.98,2.0,Mensual,1
66,36.0,50.0,101.05,0.0,Anual,0
67,69.0,36.0,63.44,0.0,Bianual,0
68,39.0,61.0,53.25,1.0,Mensual,0
69,22.0,66.0,,4.0,  anual   ,0
70,44.0,9.0,72.31,3.0,Mensual,1
71,63.0,68.0,25.39,1.0,Anual,0
72,28.0,44.0,63.29,3.0,Mensual,1
73,44.0,45.0,52.19,1.0,Mensual,0
74,25.0,6.0,96.96,1.0, mensual  ,0
75,57.0,44.0,56.52,2.0,Mensual,0
76,45.0,52.0,93.36,0.0,Mensual,1
77,36.0,41.0,37.93,1.0,Anual,0
78,30.0,6.0,71.75,3.0,Mensual,1
79,50.0,37.0,66.39,1.0,Mensual,0
80,56.0,67.0,42.62,2.0,Anual,0
81,71.0,52.0,63.55,2.0,Anual,0
82,42.0,9.0,84.25,6.0, mensual  ,0
83,27.0,69.0,53.52,3.0,Bianual,0
84,65.0,69.0,26.16,,Mensual,0
85,53.0,12.0,59.65,,Anual,0
86,57.0, 57 meses,41.95,1.0,Mensual,
87,23.0, 29 meses,53.15,0.0,Anual,1
88,35.0,42.0,58.37,3.0, bianual  ,0
89,61.0,32.0,25.89,0.0,Anual,0
90,65.0,56.0,27.69,0.0,Anual,0
91,42.0,71.0,69.64,0.0,Anual,0
92,,57.0,49.55,,Mensual,0
93,65.0,67.0,10.0,3.0,Anual,0
94,40.0,68.0,75.7,0.0,  anual   ,0
95,69.0,6.0,65.45,0.0,Bianual,0
96,34.0,18.0,45.72,0.0,Mensual,0
97,31.0,51.0,33.66,0.0,Mensual,0
98,56.0,42.0,76.72,3.0,Anual,1
99,54.0,3.0,66.99,0.0, mensual  ,1
100,25.0,6.0,107.65,4.0,Mensual,1
101,65.0, 37 meses,68.4,0.0,Mensual,0
102,29.0,44.0,67.75,1.0,Anual,0
103,63.0,12.0,56.66,3.0,Mensual,1
104,18.0,12.0,76.34,0.0, mensual  ,0
105,,9.0,,1.0,Mensual,1
106,62.0,40.0,85.03,2.0, bianual  ,0
107,62.0, 0 meses,49.57,1.0,Anual,0
108,55.0,41.0,51.29,1.0,Mensual,0
109,44.0,34.0,,,Mensual,0
110,58.0,33.0,75.82,2.0,  anual   ,0
111,33.0,48.0,89.97,2.0,Mensual,0
112,62.0,37.0,,1.0,Anual,0
113,49.0,52.0,51.5,0.0,Mensual,0
114,44.0,55.0,66.28,1.0,Bianual,0
115,46.0,66.0,55.08,1.0,Mensual,0
116,50.0, 57 meses,79.04,,Anual,0
117,20.0,37.0,14.96,0.0,Mensual,0
118,25.0,35.0,43.47,3.0,Bianual,0
119,31.0,16.0,44.35,3.0,Bianual,0
120,24.0,43.0,13.59,,Anual,0
121,43.0,10.0,40.73,2.0,Mensual,0
122,56.0,67.0,41.7,2.0, mensual  ,0
123,55.0,60.0,55.98,1.0,Anual,0
124,44.0, 8 meses,82.26,0.0,Anual,1
125,66.0,56.0,,3.0, mensual  ,0
126,50.0, 8 meses,,0.0,Mensual,0
127,22.0,51.0,58.86,1.0,Mensual,1
128,61.0,6.0,80.98,0.0,  anual   ,0
129,50.0,35.0,40.48,1.0,Anual,0
130,54.0,47.0,41.79,3.0,Anual,0
131,,52.0,71.17,1.0,  anual   ,0
132,49.0,30.0,55.57,0.0,Mensual,0
133,23.0,66.0,72.95,1.0,Mensual,0
134,49.0,55.0,59.73,0.0,Mensual,0
135,63.0,14.0,74.03,2.0,Anual,0
136,35.0,48.0,39.3,4.0,Mensual,0
137,52.0,52.0,59.76,1.0,Mensual,0
138,19.0,24.0,55.79,1.0,Mensual,0
139,37.0,53.0,35.68,1.0,Mensual,0
140,42.0,64.0,28.73,1.0,  anual   ,0
141,74.0,58.0,73.71,1.0, mensual  ,0
142,30.0,54.0,52.98,0.0,Mensual,0
143,33.0,45.0,39.55,1.0,Anual,0
144,41.0,19.0,58.08,1.0, mensual  ,1
145,74.0,57.0,82.56,4.0,Mensual,0
146,66.0,26.0,14.39,5.0, mensual  ,0
147,19.0,38.0,30.07,0.0,Anual,0
148,31.0,22.0,41.54,0.0,Mensual,0
149,64.0,22.0,89.22,2.0,Anual,1
150,21.0,11.0,65.65,3.0,Bianual,1
151,66.0,69.0,,1.0,Anual,1
152,34.0,10.0,37.2,4.0,Mensual,1
153,70.0,6.0,37.61,1.0,Anual,0
154,34.0,67.0,68.96,2.0,Mensual,1
155,42.0,39.0,61.17,1.0,Mensual,0
156,55.0,31.0,70.97,0.0, mensual  ,1
157,25.0,53.0,56.25,0.0,Mensual,0
158,49.0,27.0,65.56,0.0,Mensual,0
159,46.0,9.0,63.16,3.0,Mensual,0
160,62.0,52.0,75.56,0.0, mensual  ,1
161,74.0,12.0,76.14,0.0,Mensual,1
162,55.0,39.0,27.6,1.0,Anual,0
163,41.0,68.0,15.05,1.0,Bianual,0
164,41.0,67.0,80.03,2.0,Mensual,1
165,41.0,25.0,83.75,2.0,Anual,0
166,, 56 meses,39.59,1.0,Mensual,0
167,36.0,44.0,,1.0,Mensual,0
168,27.0,34.0,61.98,3.0,Mensual,0
169,37.0,10.0,78.62,0.0,Mensual,1
170,19.0,27.0,95.95,2.0,Mensual,1
171,24.0,46.0,70.33,0.0,Mensual,1
172,23.0,71.0,52.57,2.0,Mensual,1
173,61.0, 0 meses,42.14,2.0,Mensual,1
174,59.0,51.0,60.23,0.0,Mensual,0
